"";"Companies";"YearFinancialIndicator";"Industry";"Asset";"DebtRatio";"NetMargin";"ROA";"ROE";"TobinsQ";"EnergyProductivity";"CarbonProductivity";"WaterProductivity";"WasteProductivity";"GreenReputation";"SustainabilityPayLink";"SustainableThemedCommitment";"AuditScore"
"1";1;2014;5;1,0831e+10;0,52;0,07;0,05;0,09;1,03;0,04;0,11;0;0,08;0,14;0,1;0;0,05
"2";1;2013;5;1,0686e+10;0,51;0,11;0,07;0,14;1,07;0,79;0,72;0,54;0,57;0,84;0,1;0;0,05
"3";1;2015;5;7,479e+09;0,4;0,1;0,05;0,1;1,54;0,06;0,11;0,01;0,09;0,14;0,1;0;0,05
"4";2;2013;6;4,2278e+10;0,69;0,06;0,08;0,28;0,36;0,05;0,14;0,16;0,23;0,28;0,1;0,05;0
"5";3;2015;1;8181536000;0,41;0,23;0,19;0,43;1,63;0;0,06;0;0;0,1;0;0;0
"6";3;2014;1;7997737000;0,26;0,22;0,19;0,37;1,53;0;0;0;0;0,1;0;0;0
"7";3;2013;1;5564774000;0,13;0,21;0,18;0,29;1,42;0;0;0;0;0;0;0;0
"8";4;2014;7;2,61894e+11;7,41;0,23;0,11;0,34;2,54;0,11;0,13;0,11;0,14;0,11;0,1;0;0,05
"9";4;2013;7;2,25184e+11;6,06;0,09;0,06;0,44;2,18;0,92;0,96;0,96;0,94;0,01;0;0;0
"10";4;2015;7;2,93284e+11;4,35;0,23;0,2;0,46;2,17;0,1;0,15;0,12;0,11;0,11;0,1;0;0,05
"11";6;2015;5;30755802000;0,28;0,22;0,1;0,2;0,96;0;0,06;0;0;0,14;0;0;0
"12";6;2014;5;24904916000;0,16;0,11;0,05;0,1;0,9;0;0;0;0;0,14;0;0;0
"13";6;2013;5;19796095000;0,13;0,12;0,06;0,11;0,92;0;0;0;0;0,64;0;0;0
"14";7;2014;5;4,1275e+10;1,38;0,07;0,04;0,13;1,66;0,02;0,01;0,02;0,03;0,14;0,1;0;0,05
"15";7;2013;5;4,2953e+10;1,3;0,07;0,04;0,12;1,23;0,12;0,08;0,15;0,35;0,19;0,1;0;0,05
"16";7;2015;5;4,1247e+10;1,29;0,08;0,05;0,14;1,63;0,01;0,01;0,01;0,05;0,14;0,1;0;0,05
"17";8;2015;6;1990212000;0,27;0,13;0,06;0,09;1,71;0,05;0,04;0,09;0,01;0,18;0,1;0,05;0,05
"18";8;2013;6;1681851000;0,22;0,07;0,03;0,04;1,69;0,2;0,43;0,4;0,02;0,67;0;0,05;0,05
"19";8;2014;6;1850700000;0,13;0,06;0,03;0,04;1,7;0,01;0,03;0,07;0,03;0,18;0,1;0,05;0,05
"20";9;2013;7;10380298000;0,18;0,26;0,11;0,15;2,62;0,83;0,87;0,99;0,92;0,51;0,1;0,05;0,05
"21";9;2014;7;10785829000;0,18;0,22;0,09;0,13;3,2;0,13;0,09;0,12;0,09;0,19;0,1;0,05;0,05
"22";9;2015;7;11726472000;0,1;0,2;0,1;0,14;3,82;0,06;0,08;0,08;0,03;0,19;0,1;0,05;0,05
"23";10;2015;7;7062178000;0,32;0,03;0,05;0,1;2,31;0,09;0,09;0,07;0,05;0,13;0;0,05;0,05
"24";10;2014;7;6859690000;0,28;0,03;0,05;0,11;1,95;0,08;0,08;0,07;0,04;0,13;0;0,05;0,05
"25";10;2013;7;6381750000;0,27;0,01;0,03;0,07;1,77;0,55;0,48;0,59;0,3;0,86;0;0,05;0,05
"26";11;2015;2;4,0157e+10;0,47;0,13;0,04;0,32;0,48;0,01;0,02;0,06;0;0,09;0,1;0,05;0
"27";11;2014;2;4,4027e+10;0,28;0,12;0,04;0,23;0,64;0,02;0,01;0,07;0;0,09;0,1;0,05;0
"28";11;2013;2;4,3752e+10;0,27;0,12;0,04;0,22;0,48;0,06;0,09;0,55;0;0,19;0;0,05;0
"29";12;2013;7;38321800000;2,85;0,11;0,04;0,72;0,97;0,47;0,38;0,61;0;1;0;0,05;0
"30";12;2015;7;39899500000;2,33;0,09;0,03;0,3;0,94;0;0,07;0;0;0,16;0;0,05;0
"31";12;2014;7;43503100000;1,67;0,1;0,03;0,38;0,86;0;0,07;0;0;0,16;0;0,05;0
"32";13;2015;7;22421830000;0,86;0,09;-0,05;-0,12;0,76;0;0,05;0;0;0,16;0;0;0
"33";13;2013;7;13244257000;0,35;0,11;0,06;0,12;1,03;0;0;0;0;0;0;0;0
"34";13;2014;7;20263977000;0,33;0,05;0,03;0,05;0,93;0;0,08;0;0;0,16;0;0;0
"35";14;2015;7;5,22e+09;1,06;0,1;0,03;0,09;2,4;0,14;0,14;0;0,05;0,19;0,1;0,05;0,05
"36";14;2014;7;4736800000;0,93;0,1;0,03;0,09;2,65;0,1;0,14;0;0,03;0,19;0,1;0,05;0,05
"37";14;2013;7;4321500000;0,86;0,05;0,01;0,05;1,88;0,63;0,94;0,3;0,62;1;0;0;0,05
"38";15;2013;11;2,1042e+10;1,05;0,1;0,03;0,09;0,7;0,52;0,03;0;0;0,29;0,1;0,05;0
"39";15;2015;11;2,364e+10;0,99;0,12;0,03;0,12;0,74;0,07;0,01;0,01;0;0,12;0,1;0,05;0
"40";15;2014;11;2,2676e+10;0,96;0,1;0,03;0,1;0,8;0,09;0,01;0;0;0,12;0,1;0,05;0
"41";16;2013;11;5,6414e+10;0,56;0,04;0,04;0,15;0,73;0,02;0,02;0,03;0;0,07;0,1;0,05;0
"42";16;2014;11;5,9633e+10;0,54;0,04;0,04;0,14;0,83;0;0,01;0,03;0;0,12;0,1;0,05;0
"43";16;2015;11;61683100000;0,49;0,04;0,04;0,15;0,8;0;0,01;0,02;0;0,12;0,1;0,05;0
"44";17;2013;5;49871800000;0,56;0,13;0,03;0,22;0,71;0,65;0,74;0;0;0,74;0;0,05;0
"45";17;2014;5;53402100000;0,54;0,13;0,02;0,17;0,8;0;0,08;0;0;0,14;0;0,05;0,05
"46";17;2015;5;53424100000;0,49;0,12;0,02;0,14;0,91;0,13;0,12;0,11;0;0,14;0;0,05;0,05
"47";18;2013;4;1,21307e+11;0,34;0,13;0,03;0,21;0,34;0,85;0,63;0;0;0,82;0;0,05;0,05
"48";18;2014;4;1,19767e+11;0,29;0,13;0,02;0,18;0,29;0,09;0,09;0,09;0,12;0,16;0,1;0,05;0,05
"49";18;2015;4;1,18296e+11;0,28;0,12;0,02;0,14;0,26;0,06;0,07;0,06;0,1;0,16;0,1;0,05;0,05
"50";19;2013;5;10574300000;0,89;0,13;0,02;0,09;1,21;0,72;0,85;0,61;0,82;1;0,1;0,05;0,05
"51";21;2014;7;4001546000;0,21;0,08;0,03;0,13;2,72;0,01;0,07;0;0,15;0,18;0,1;0,05;0,05
"52";21;2015;7;4187925000;0,2;0,06;0,02;0,11;2,16;0,05;0,04;0;0,15;0,18;0,1;0,05;0,05
"53";21;2013;7;2957685000;0;0,07;0,02;0,11;2,59;0,03;0,12;0;0,68;0,82;0;0,05;0,05
"54";22;2015;4;1,04656e+11;0,4;0,06;0,01;0,02;0,22;0,01;0,03;0,06;0,08;0,16;0,1;0,05;0,05
"55";22;2014;4;1,08533e+11;0,25;0,29;0,17;0,22;0,26;0,01;0,03;0,05;0,12;0,16;0,1;0,05;0,05
"56";22;2013;4;1,2352e+11;0,03;0,16;0,09;0,11;0,19;0,19;0,21;0,31;0,72;0,87;0;0,05;0,05
"57";23;2015;5;13133230000;0,44;0,14;0,1;0,17;3,4;0;0,06;0;0;0,17;0;0;0
"58";23;2013;5;3317696000;0,27;0,03;0,02;0,04;7,43;0;0;0;0;0,63;0;0;0
"59";23;2014;5;4201962000;0,25;0,12;0,08;0,14;8,25;0;0;0;0;0,17;0;0;0
"60";24;2015;7;1,5308e+10;0,48;0,15;0,09;0,18;1,13;0,1;0,1;0,09;0,03;0,13;0,1;0,05;0
"61";24;2014;7;1,3174e+10;0,44;0,15;0,09;0,17;1,88;0,08;0,08;0,09;0,02;0,13;0,1;0,05;0
"62";24;2013;7;1,2043e+10;0,36;0,14;0,1;0,18;1,68;0,61;0,65;0,72;0,32;0,89;0,1;0,05;0
"63";25;2014;6;6420963000;0,72;0,18;0,06;0,18;2,1;0;0;0;0;0,13;0;0;0
"64";25;2015;6;6664530000;0,67;0,21;0,07;0,19;2,04;0;0,05;0;0;0,13;0;0;0
"65";25;2013;6;5877902000;0,65;0,16;0,06;0,17;2,31;0;0;0;0;0;0;0;0
"66";26;2014;4;7698100000;1,34;0,26;0,07;0,21;1,72;0;0;0;0;0,1;0;0;0
"67";26;2013;4;6318800000;1,34;0,27;0,09;0,24;1,96;0;0;0;0;0,89;0;0;0
"68";26;2015;4;7784800000;1,04;0,32;0,1;0,25;1,32;0;0,06;0;0;0,1;0;0;0
"69";27;2013;5;6,6125e+10;1,34;0,12;0,01;0,16;1,46;0,64;0,51;0,52;0,43;0,6;0;0,05;0,05
"70";27;2014;5;6,9009e+10;1,17;0,13;0,01;0,2;1,79;0,08;0,09;0,08;0,08;0,17;0,1;0,05;0,05
"71";27;2015;5;7,1576e+10;1,04;0,13;0,01;0,2;1,7;0,06;0,07;0,06;0,07;0,17;0,1;0,05;0,05
"72";28;2015;4;1,45342e+11;1,42;0,13;0,01;0,2;0,16;0;0,07;0;0;0,1;0;0;0
"73";28;2014;4;1,4881e+11;1,22;0,13;0,01;0,2;0,19;0;0;0;0;0,09;0;0;0
"74";28;2013;4;1,44576e+11;1,03;0,12;0,01;0,15;0,17;0;0;0;0;0,86;0;0;0
"75";29;2013;4;20272571000;4,08;0,16;0,03;0,15;1,55;0;0;0;0;0;0;0;0
"76";29;2014;4;21331545000;3,47;0,2;0,04;0,2;2,53;0;0;0;0;0,15;0;0;0
"77";29;2015;4;26904272000;2,57;0,12;0,03;0,09;2,17;0;0,04;0;0;0,15;0;0;0
"78";30;2014;1;5,4505e+10;1,05;0;-0,01;-0,02;2,74;0;0;0;0;0,12;0;0;0
"79";30;2015;1;6,5444e+10;0,93;0,01;0,01;0,05;5,02;0;0,06;0;0;0,12;0;0;0
"80";30;2013;1;4,0159e+10;0,47;0;0,01;0,03;4,6;0;0;0;0;0,07;0;0;0
"81";31;2014;3;1,649e+10;0,96;0,02;0,06;0,19;0,72;0;0;0;0;0,01;0;0,05;0
